Título de la Canción,Artista,Género,Duración (segundos),Popularidad,Año de Lanzamiento,Instrumentos Utilizados
Canción 1,Artista 1,Pop,395,75,1978,Guitarra
Canción 2,Artista 2,Rock,157,62,1960,Batería
Canción 3,Artista 3,Hip-Hop,197,63,1966,Sintetizador
Canción 4,Artista 4,Electrónica,193,79,1960,Bajo
Canción 5,Artista 5,Jazz,260,78,1968,Voz
Canción 6,Artista 6,Pop,367,75,1961,Piano
Canción 7,Artista 7,Rock,249,65,2004,Saxofón
Canción 8,Artista 8,Hip-Hop,165,95,1966,Percusión
Canción 9,Artista 9,Electrónica,261,62,1999,Guitarra
Canción 10,Artista 10,Jazz,167,76,1983,Batería
Canción 11,Artista 11,Pop,311,87,1989,Sintetizador
Canción 12,Artista 12,Rock,212,95,2005,Bajo
Canción 13,Artista 13,Hip-Hop,326,81,1975,Voz
Canción 14,Artista 14,Electrónica,213,83,1964,Piano
Canción 15,Artista 15,Jazz,383,61,1996,Saxofón
Canción 16,Artista 16,Pop,173,63,2021,Percusión
Canción 17,Artista 17,Rock,252,72,1979,Guitarra
Canción 18,Artista 18,Hip-Hop,155,92,1982,Batería
Canción 19,Artista 19,Electrónica,183,99,2009,Sintetizador
Canción 20,Artista 20,Jazz,239,51,1962,Bajo
Canción 21,Artista 21,Pop,315,74,2006,Voz
Canción 22,Artista 22,Rock,290,76,1964,Piano
Canción 23,Artista 23,Hip-Hop,165,90,1999,Saxofón
Canción 24,Artista 24,Electrónica,313,62,2007,Percusión
Canción 25,Artista 25,Jazz,288,73,2018,Guitarra
Canción 26,Artista 26,Pop,276,58,1983,Batería
Canción 27,Artista 27,Rock,218,91,2015,Sintetizador
Canción 28,Artista 28,Hip-Hop,383,66,2000,Bajo
Canción 29,Artista 29,Electrónica,308,97,2016,Voz
Canción 30,Artista 30,Jazz,326,53,1989,Piano
Canción 31,Artista 31,Pop,292,84,2010,Saxofón
Canción 32,Artista 32,Rock,249,94,1999,Percusión
Canción 33,Artista 33,Hip-Hop,375,56,2017,Guitarra
Canción 34,Artista 34,Electrónica,229,68,1974,Batería
Canción 35,Artista 35,Jazz,181,95,1970,Sintetizador
Canción 36,Artista 36,Pop,323,93,1987,Bajo
Canción 37,Artista 37,Rock,223,66,2019,Voz
Canción 38,Artista 38,Hip-Hop,316,98,1999,Piano
Canción 39,Artista 39,Electrónica,149,77,2006,Saxofón
Canción 40,Artista 40,Jazz,335,74,2009,Percusión
Canción 41,Artista 41,Pop,333,79,1973,Guitarra
Canción 42,Artista 42,Rock,146,58,1981,Batería
Canción 43,Artista 43,Hip-Hop,134,76,1986,Sintetizador
Canción 44,Artista 44,Electrónica,278,54,2010,Bajo
Canción 45,Artista 45,Jazz,298,52,1970,Voz
Canción 46,Artista 46,Pop,337,57,2017,Piano
Canción 47,Artista 47,Rock,316,54,2008,Saxofón
Canción 48,Artista 48,Hip-Hop,379,71,1983,Percusión
Canción 49,Artista 49,Electrónica,130,99,2001,Guitarra
Canción 50,Artista 50,Jazz,411,95,1960,Batería
Canción 51,Artista 51,Pop,369,64,2020,Sintetizador
Canción 52,Artista 52,Rock,419,67,2014,Bajo
Canción 53,Artista 53,Hip-Hop,255,55,2004,Voz
Canción 54,Artista 54,Electrónica,261,71,1985,Piano
Canción 55,Artista 55,Jazz,249,73,2009,Saxofón
Canción 56,Artista 56,Pop,368,64,2013,Percusión
Canción 57,Artista 57,Rock,139,62,2001,Guitarra
Canción 58,Artista 58,Hip-Hop,208,65,2002,Batería
Canción 59,Artista 59,Electrónica,256,66,1975,Sintetizador
Canción 60,Artista 60,Jazz,160,77,1976,Bajo
Canción 61,Artista 61,Pop,265,85,1977,Voz
Canción 62,Artista 62,Rock,375,55,1960,Piano
Canción 63,Artista 63,Hip-Hop,257,72,1984,Saxofón
Canción 64,Artista 64,Electrónica,381,62,2007,Percusión
Canción 65,Artista 65,Jazz,372,80,2002,Guitarra
Canción 66,Artista 66,Pop,232,59,2022,Batería
Canción 67,Artista 67,Rock,302,93,2012,Sintetizador
Canción 68,Artista 68,Hip-Hop,370,79,2001,Bajo
Canción 69,Artista 69,Electrónica,238,96,1995,Voz
Canción 70,Artista 70,Jazz,305,77,1965,Piano
Canción 71,Artista 71,Pop,335,82,1999,Saxofón
Canción 72,Artista 72,Rock,343,91,1996,Percusión
Canción 73,Artista 73,Hip-Hop,205,51,1962,Guitarra
Canción 74,Artista 74,Electrónica,182,78,2000,Batería
Canción 75,Artista 75,Jazz,163,65,1979,Sintetizador
Canción 76,Artista 76,Pop,398,75,1974,Bajo
Canción 77,Artista 77,Rock,365,60,1980,Voz
Canción 78,Artista 78,Hip-Hop,170,89,1965,Piano
Canción 79,Artista 79,Electrónica,227,55,2006,Saxofón
Canción 80,Artista 80,Jazz,357,51,1985,Percusión
Canción 81,Artista 81,Pop,135,81,2004,Guitarra
Canción 82,Artista 82,Rock,343,63,1998,Batería
Canción 83,Artista 83,Hip-Hop,393,88,2021,Sintetizador
Canción 84,Artista 84,Electrónica,317,60,1962,Bajo
Canción 85,Artista 85,Jazz,153,57,1991,Voz
Canción 86,Artista 86,Pop,390,93,1965,Piano
Canción 87,Artista 87,Rock,354,78,2005,Saxofón
Canción 88,Artista 88,Hip-Hop,399,85,2008,Percusión
Canción 89,Artista 89,Electrónica,399,91,1994,Guitarra
Canción 90,Artista 90,Jazz,246,78,1994,Batería
Canción 91,Artista 91,Pop,400,71,2002,Sintetizador
Canción 92,Artista 92,Rock,201,91,2002,Bajo
Canción 93,Artista 93,Hip-Hop,290,79,1973,Voz
Canción 94,Artista 94,Electrónica,272,73,1999,Piano
Canción 95,Artista 95,Jazz,268,79,2013,Saxofón
Canción 96,Artista 96,Pop,151,90,2012,Percusión
Canción 97,Artista 97,Rock,159,57,1965,Guitarra
Canción 98,Artista 98,Hip-Hop,406,54,1960,Batería
Canción 99,Artista 99,Electrónica,221,86,2018,Sintetizador
Canción 100,Artista 100,Jazz,203,77,2005,Bajo
Canción 101,Artista 101,Pop,145,89,2014,Voz
Canción 102,Artista 102,Rock,354,57,1967,Piano
Canción 103,Artista 103,Hip-Hop,266,86,1988,Saxofón
Canción 104,Artista 104,Electrónica,337,75,2016,Percusión
Canción 105,Artista 105,Jazz,273,91,1995,Guitarra
Canción 106,Artista 106,Pop,393,92,1971,Batería
Canción 107,Artista 107,Rock,312,75,1967,Sintetizador
Canción 108,Artista 108,Hip-Hop,315,62,2012,Bajo
Canción 109,Artista 109,Electrónica,216,65,2014,Voz
Canción 110,Artista 110,Jazz,410,64,1967,Piano
Canción 111,Artista 111,Pop,414,81,1983,Saxofón
Canción 112,Artista 112,Rock,363,65,2000,Percusión
Canción 113,Artista 113,Hip-Hop,230,61,1966,Guitarra
Canción 114,Artista 114,Electrónica,129,91,1991,Batería
Canción 115,Artista 115,Jazz,229,95,2014,Sintetizador
Canción 116,Artista 116,Pop,301,87,2018,Bajo
Canción 117,Artista 117,Rock,334,91,1977,Voz
Canción 118,Artista 118,Hip-Hop,250,85,1968,Piano
Canción 119,Artista 119,Electrónica,135,52,2021,Saxofón
Canción 120,Artista 120,Jazz,415,75,1979,Percusión
Canción 121,Artista 121,Pop,158,94,1999,Guitarra
Canción 122,Artista 122,Rock,175,84,1998,Batería
Canción 123,Artista 123,Hip-Hop,395,91,2002,Sintetizador
Canción 124,Artista 124,Electrónica,345,96,1977,Bajo
Canción 125,Artista 125,Jazz,154,64,1986,Voz
Canción 126,Artista 126,Pop,374,84,1996,Piano
Canción 127,Artista 127,Rock,142,88,2020,Saxofón
Canción 128,Artista 128,Hip-Hop,122,66,2014,Percusión
Canción 129,Artista 129,Electrónica,183,75,2006,Guitarra
Canción 130,Artista 130,Jazz,217,81,1964,Batería
Canción 131,Artista 131,Pop,304,98,2009,Sintetizador
Canción 132,Artista 132,Rock,244,62,2001,Bajo
Canción 133,Artista 133,Hip-Hop,234,78,1974,Voz
Canción 134,Artista 134,Electrónica,304,54,2021,Piano
Canción 135,Artista 135,Jazz,409,90,1961,Saxofón
Canción 136,Artista 136,Pop,376,84,2020,Percusión
Canción 137,Artista 137,Rock,358,76,2020,Guitarra
Canción 138,Artista 138,Hip-Hop,406,82,1980,Batería
Canción 139,Artista 139,Electrónica,196,84,2016,Sintetizador
Canción 140,Artista 140,Jazz,123,87,1970,Bajo
Canción 141,Artista 141,Pop,370,70,1998,Voz
Canción 142,Artista 142,Rock,243,51,2011,Piano
Canción 143,Artista 143,Hip-Hop,143,61,2008,Saxofón
Canción 144,Artista 144,Electrónica,187,50,1990,Percusión
Canción 145,Artista 145,Jazz,363,54,1967,Guitarra
Canción 146,Artista 146,Pop,388,54,1972,Batería
Canción 147,Artista 147,Rock,408,53,1996,Sintetizador
Canción 148,Artista 148,Hip-Hop,368,96,2013,Bajo
Canción 149,Artista 149,Electrónica,412,100,2021,Voz
Canción 150,Artista 150,Jazz,309,65,1992,Piano
Canción 151,Artista 151,Pop,189,90,2013,Saxofón
Canción 152,Artista 152,Rock,292,74,1980,Percusión
Canción 153,Artista 153,Hip-Hop,192,87,2015,Guitarra
Canción 154,Artista 154,Electrónica,223,66,2000,Batería
